english,portuguese
fault,"[fault] culpa, defeito, falha, falta"
favor,[favor] favor
favorite,"[favorite] favorita, favoritos, favoritas, favorito"
fear,"[fear] medo, tem medo de, tenho medo de, perigo, recear, receará, receia, receiam, receio, receou, temor, ter medo de, terá medo de, teve medo de, têm medo de"
february,[february] fevereiro
feel,"[feel] sentir, sinto, sentir-se, ficam, ficar, me sinto, nos sentimos, se sentir, sente, sente-se, sentem, senti, sentimos, sentiram, sentirei, sentiria, sentiriam, sentirá, sentirão, sentiu, sinta, sinta-se"
feel better,[feel better]
feeling better,[feeling better]
feels,"[feels] sente, sentir-se, apalpa, apalpar, se sentem, sentem, sentir, tatear, tateia"
feet,"[feet] pés, os pés, pata, patas"
fell,"[fell] caiu, caíram, cair, caí, caía, caíam, outono, queda, quedas"
felt,"[felt] sentido, sentiu, sentiu-se, apalpado, apalpar, apalparam, apalparia, apalpariam, apalpará, apalparão, apalpava, apalpavam, apalpei, apalpou, apalpámos/apalpamos, apalpávamos, ficado, nos sentimos, senti, senti-me, sentia, sentia-se, sentiam, sentimo-nos, sentimos, sentir, sentir-se, sentiram, sentiria, sentiriam, sentirá, sentirão, sentíamo-nos, sentíamos, tateado, tatear, tatearam, tatearão, tateava, tateavam, tateei, tateou, tateávamos"
few,"[few] poucos, poucas, menos, menos de, pouco"
fewer,"[fewer] menos (de), alguns, menos, pouco, poucos"
field,"[field] campo, domínio, pasto, quadra"
fifteen,[fifteen] quinze
fifth,"[fifth] quinta, quinto, dia cinco de"
fifty,[fifty] cinquenta
figure,"[figure] figura, algarismo"
fill,"[fill] (eles) enchem, encha, encham, enche, encher, encho, preencha, preenche, preenchem, preenchemos, preencher, preencho"
fill it out,[fill it out] preenchê-lo
fill out,"[fill out] preencher, preencha"
fill out this form,[fill out this form]
film,"[film] filme, filmar, filma, filmam, filmamos, filmarem, filmaria, filmariam, filmarão, filmes, filmo"
films,"[films] filmes, filma, filmar, filme"
final,"[final] final, decisiva, decisivo, decisão, definitiva, definitivas, definitivo, finais, última, último"
finally,"[finally] finalmente, definitivamente, em conclusão, por fim"
find,"[find] encontrar, achar, encontre, acertar, acha, achado, acham, achamos, acharam, acharemos, acharia, achariam, achará, acharão, acharíamos, ache, achem, acho, achou, declara, declaram, declaramos, declarar, declararam, declararei, declararemos, declararia, declarariam, declarará, declararão, declararíamos, declaro, declarou, descobre, descobrem, descobri, descobrimos, descobrir, descobriremos, descobriria, descobririam, descobrirá, descobrirão, descobriríamos, descobriu, descubro, encontra, encontram, encontramos, encontraram, encontraremos, encontraria, encontrariam, encontrarão, encontrei, encontrem, encontro, encontrou, encontrá, encontrávamos, saber mais sobre"
find out,"[find out] descobrirão, descubra, descobre, sabemos, saber, descobrirá, descobriu, informar, descobrimos, descobrir, descubro, sabendo, descobriremos, descobriram, descobriria, sabe"
finds,"[finds] encontra, acha, ache, achados, achar, declara, declarar, descobre, descobrir, encontrar, encontre"
fine,"[fine] bem, belo, boa, bom, fininho, fino, lindo, muito bem, multa, tudo bem"
finger,"[finger] dedo, apalpa, apalpam, apalpar, apalparia, apalpo, toca, tocam, tocar, tocaria, toco"
fingers,"[fingers] dedos, apalpa, apalpar, toca, tocar"
finish,"[finish] terminar, terminou, acabar, (eles) terminarem, acaba, acabam, acabamento, acabamos, acabaram, acabarei, acabarem, acabaremos, acabará, acabarão, acabo, acabou, chegada, fim, termina, terminam, terminamos, terminar de, terminaram, terminarei, terminarem, terminaremos, terminarmos, terminará, terminarão, termine, terminemos, termino"
finished,"[finished] terminou, terminaram, terminei, acabado, acabamento, acabamos, acabar, acabaram, acabarei, acabaria, acabariam, acabaríamos, acabava, acabavam, acabei, acabou, acabou de, acabávamos, chegada, cheguei, fim, já terminaram, terminado, terminados, terminamos, terminar, terminarei, terminarem, terminaria, terminariam, terminaríamos, terminava, terminavam, terminávamos"
finishes,"[finishes] termina, acaba, acabamentos, acabar, chegadas, encerra, fim, terminar, terminarem"
fire,"[fire] fogo, faço fogo, fazer fogo, aquecedor, atira, atiram, atiramos, atirar, atiro, despede, despedem, despedimos, despedir, despediram, despeço, dispara, disparam, disparamos, disparar, disparará, disparo, fará fogo, faz fogo, fazem fogo, fazemos fogo, fogueira, incêndio, inflama, inflamam, inflamamos, inflamar, lareira"
firm,"[firm] firma, casa, empresa, firme, inabalável"
first,"[first] primeira, primeiro lugar, antes, começo, dia primeiro de, em primeiro lugar, início, primeiras, primeiro, primeiros"
first of all,[first of all]
fish,"[fish] peixe, peixes, pesca, de peixe, pescam, pescamos, pescar, pescaram, pescarei, pescaremos, pescaria, pescará, pescarão, pesco, pescou"
fishing,"[fishing] pesqueira, pesqueiras, de pesca, peixes, pesca, pescando, pescar"
fit,"[fit] caem, serve, cabe, cabem, caber, caberia, caberá, cabia, cabiam, cai, caibo, calças, capaz, coube, couberem, de boa saúde, em condições, em forma, fica bem, ficam, ficam bem, ficar bem, ficaria bem, ficará bem, fico bem, próprio, servem, servir, serviria, servirá, sirvo"
fits,"[fits] cabe, serve, em condições, caber, caberes, cai, capazes, de boa saúde, em forma, fica bem, ficar bem, próprios, servir, servires"
five,[five] cinco
flag,"[flag] bandeira, caem, cai, caio, cair, caímos, esmorece, esmorecem, esmorecemos, esmorecer, esmoreço, pende, pendem, pendemos, pender, pendo, tomba, tombam, tombamos, tombar, tombo"
flew,"[flew] voávamos, voamos, hasteou, hasteava, correu, pilotou, hastearam, pilotavam, corriam, hastear, hasteavam, pilotávamos, arvorar, braguilha, corremos, voava, voavam, viajar de avião, pilotava, voar, correram, voaram, voou, pilotaram, hasteávamos, corria"
flies,"[flies] moscas, voa, arvorar, hastear, hasteia, pilota, pilotar, voar"
flight,"[flight] voo, fuga"
floor,"[floor] chão, pista, andar, assoalha, assoalham, assoalhamos, assoalhar, assoalharei, assoalharia, assoalho, desconcerta, desconcertam, desconcertamos, desconcerto, piso, soalho"
flower,"[flower] flor, de flores, floresce, florescem, florescer, florescerão, floresço, florir, florirão, fluro"
flowers,"[flowers] flores, floresce, florescer, florir"
flute,[flute] flauta
fly,"[fly] mosca, voam, voo, pilota, pilotam, pilotar, piloto, viajar, voa, voamos, voar"
fog,"[fog] neblina, nevoeiro"
follow,"[follow] seguir, seguiu, seguiria, acompanhar, entender, segue, seguem, segui, seguimos, seguiram, seguirei, seguirem, seguiremos, seguiriam, seguirá, seguirão, siga, sigo"
following,"[following] seguindo, seguir, em seguimento a, entendendo, partidários, seguido, seguinte"
follows,"[follows] segue, seguir"
food,"[food] comida, alimento, alimentos"
foot,[foot] pé
football,"[football] futebol, bola de futebol, futebol americano"
footballs,[footballs]
for,"[for] para, por, pela, a, atrás, como, da, das, de, devido, do, durante, em, em lugar de, em vez de, havia, há, nas, no, nos, pelas, pelo, pelos, pra, que"
for free,[for free]
for sale,[for sale]
force,"[force] força, forçar, obrigada"
foreign,"[foreign] estrangeiro, estrangeira, estrangeiras, estrangeiros, externo"
forest,[forest] floresta
forget,"[forget] esquecer, esquecerei, esquece, esquecem, esquecemos, esqueceria, esqueceriam, esquecerá, esquecerão, esqueceríamos, esqueceu, esquecê, esquecê-la, esquecê-lo, esqueça, esqueçam, esqueçamos, esqueças, esqueço, me esquecer dos, se esquece de"
forgot,"[forgot] esquecia, esqueci, esquecemos, esquecer, esqueceram, esquecerei, esqueceu, esqueciam, esquecido, se esqueceu"
fork,"[fork] garfo, bifurca, bifurcamos, bifurcar, bifurcação, bifurco, bifurcou, forquilha"
forks,"[forks] garfos, bifurca, bifurcar, bifurcação, forquilhas"
formula,[formula] fórmula
forty,[forty] quarenta
found,"[found] encontrado, achado, encontrou, acertou, achamos, achar, acharam, acharei, acharemos, acharia, achariam, achará, acharão, acharíamos, achava, achavam, achei, achou, achámos, achávamos, declarado, declaramos, declarar, declararam, declararei, declararemos, declararia, declarariam, declarará, declararão, declararíamos, declarava, declaravam, declarei, declarou, declarámos, declarávamos, descobri, descobria, descobriam, descobrimos, descobrir, descobriram, descobrirei, descobriremos, descobriria, descobririam, descobrirá, descobrirão, descobriríamos, descobriu, descobríamos, encontrada, encontramos, encontrar, encontraram, encontrarei, encontraremos, encontraria, encontrariam, encontrará, encontrarão, encontraríamos, encontrava, encontravam, encontrei, encontrámos, encontrávamos, funda, fundam, fundamos, fundar, fundarei, fundaremos, fundaria, fundariam, fundará, fundarão, fundaríamos, fundo"
foundation,"[foundation] fundação, fundamento"
foundations,"[foundations] fundações, alicerces, bases"
four,[four] quatro
fourteen,"[fourteen] catorze, quatorze"
fourth,"[fourth] 4ª, 4º, dia quatro, dia quatro de, quarta, quarto, quartos"
france,"[france] França, a França"
free,"[free] grátis, livre, de graça, franco, gratuita, gratuitas, gratuito, gratuitos, liberta, libertam, libertamos, libertar, liberto, livra, livram, livramos, livrar, livres, livro, à vontade"
freedom,[freedom] liberdade
french,"[french] francês/francesa, franceses/francesas, da França, francesa"
frequent,"[frequent] frequente, frequentes, frequenta, frequentam, frequentamos, frequentar"
friday,[friday] sexta-feira
fridays,"[fridays] sextas-feiras, sexta-feira/sexta, sextas"
fried,"[fried] fritas, fritos, frita, fritada, fritado, fritar, fritaram, fritava, fritavam, fritei, frito, fritou"
friend,"[friend] amiga, amigas, amigo, colega"
friendlier,"[friendlier] mais amigáveis, mais amigável"
friendly,"[friendly] simpática, amigável, simpáticas, simpático, amigáveis, simpáticos, amigas"
friends,"[friends] amigas, amiga, amigo, amigos"
fries,"[fries] frita, fritas, batatas fritas, fritar, frito"
from,"[from] de, do, da, a partir de, a partir do, com, daquele, das, dela, delas, dele, deles, desde, dessa, dessas, dos, na, pelo, por"
front,"[front] frente, da frente, anterior, dianteiras, fachada, fronte, primeira, primeiro"
fronts,[fronts]
fruit,"[fruit] fruta, frutas, fruto, frutos"
full,"[full] cheio, cheia, cheios, amplo, cheias, completa, completas, completo, completos, por inteiro, rodado, satisfeita, satisfeitas, satisfeito, satisfeitos, total"
fun,"[fun] divertimento, divertido, diversão, divertida, divertidas, divertidos"
funny,"[funny] esquisito, engraçado, engraçada, divertidas, engraçados, divertidos, engraçadas, divertido"
furniture,"[furniture] móveis, mobília, móvel"
further,"[further] promoveria, adicional, mais, mais distante, promover, longínquo, suplementar, promove, mais longe, distante, afastado, outro, muito, longe, promovemos"
future,"[future] futuro, futuras, futuros"
game,"[game] jogo, bravo, caça, desafio, partida"
games,"[games] jogos, bravo, bravos, caça, caças, desafio, desafios, jogo"
garden,"[garden] jardim, horta, jardina, jardinam, jardinamos, jardinar, jardinaram, jardinaremos, jardinaria, jardinariam, jardinará, jardinarão, jardino, jardinou"
garlic,[garlic] alho
gas,"[gas] gás, gasolina, abastecimento, anestésico, asfixia, asfixiam, asfixiamos, asfixiar, asfixiaria, asfixiariam, asfixio, faria conversa fiada, faz conversa fiada, fazem conversa fiada, fazemos conversa fiada, fazer conversa fiada, faço conversa fiada, gaseamos, gasear, gasearia, gaseariam, gaseia, gaseiam, gaseio, gases"
gave,"[gave] deu, dei, deram, cedemos, ceder, cederam, cederia, cederiam, cedeu, cedi, cedia, cediam, cedíamos, dar, darem, daria, dariam, dava, davam, demos, desse, deste, deu a, deu para, devolveu, dávamos"
general,"[general] geral, general, general (militar), geralmente"
generally,"[generally] geralmente, normalmente, regularmente, usualmente"
generation,[generation] geração
geography,[geography] geografia
german,"[german] alemão, alemã, alemães"
germany,[germany] Alemanha
get,"[get] chegar, conseguir, ganhar, acha, acham, achamos, achar, acharam, acharei, acharemos, acharia, achariam, acharão, acharíamos, achei, acho, achou, adquirir, adquiriremos, adquirirá, adquiriu, apanha, apanham, apanhamos, apanhar, apanharam, apanharei, apanharemos, apanharia, apanhariam, apanhará, apanharão, apanharíamos, apanhei, apanho, apanhou, busca, buscar, busque, chega, chegaremos, chegarmos, chego, chegou, cheguemos, compra, compram, comprar, comprarem, comprasse, compre, comprou, consegue, consegui, conseguimos, conseguirmos, conseguiu, consigamos, consigo, entende, entendem, entender, entenderei, entenderia, entenderiam, entenderá, entenderão, entendeu, entendi, entendo, entram, entrar, entrou, fazer com que, faça com que, fica, ficam, ficamos, ficar, ficas, fico, ficou, fique, fique com, foi, forem, ganha, ganham, ganhamos, ganharam, ganharei, ganharemos, ganharia, ganhariam, ganhará, ganharão, ganharíamos, ganhe, ganhei, ganho, ganhou, leva, levada, levar, leve, meteria, obter, obteria, obteve, obtêm, pega, pegamos, pegar, pegarei, pego, pegou, pegue, peça, receba, recebe, recebem, recebemos, receber, receberam, receberei, receberemos, receberia, receberiam, receberão, receberíamos, recebeu, recebi, recebo, recebê, sair para tomar, saímos para beber, saímos para comer, saímos para tomar, sejam, são, tem, temos, tenho, ter, terei, teremos, teria, teriam, terão, teríamos, teve, tirar, tire, tirou, tive, tivemos, tiveram, tomar, tomarem, tomou, trazer, têm, vá"
get along,"[get along] me dou bem, se dão bem, se dar bem, nos damos bem, dou"
get back,"[get back] voltará, voltarem, voltar"
get dressed,"[get dressed] se vista, me vestir, se vestir"
get married,"[get married] se casam, caso, casem, casas, casar"
get off,"[get off] sai, desça, saio, descerem, sair, descer"
get on,"[get on] entrar, embarcar"
get ready,"[get ready] ficar pronto, ficar pronta, nos arrumarmos, se arrume, preparar, me arrumar, se arrumar, preparem-se"
get up,"[get up] me levantar, se levantar, levanto, levantar, levantam, se levanta, levante, levanta"
gets,"[gets] fica, torna-se, ganha, acha, achar, apanha, apanhar, compra, consegue, entende, ficar, fique, for, ganhar, ir buscar, leva, pega, pegar, recebe, receber, será, sofra, tem, ter, tira, vai buscar, é"
gets up,"[gets up] levanta-se, levantar-se, levanta"
getting,"[getting] ficando, ir buscar, achando, achar, apanhando, apanhar, beber, buscando, chegar, comprando, comprar, conseguindo, conseguir, entendendo, entender, entrando, ficar, ficar com, ganhando, ganhar, indo buscar, obter, pegando, pegar, recebendo, receber, sair para tomar, tendo, ter, tirar, tomar"
girl,"[girl] menina, garota"
girlfriend,"[girlfriend] namorada, amiga"
girls,"[girls] meninas, garotas, gurias, moças, raparigas"
give,"[give] dar, dê, dão, damos, darei, darem, daria, dariam, darão, deem, deram, desse, deu, dou, dá, dás, dêem, dês"
give back,"[give back] devolva, devolver, devolvem"
given,"[given] dado, dada, dadas, dar para o, deram"
gives,"[gives] dá, cede, ceder, dar, dares, dê"
giving,"[giving] dando, cedendo, dar"
glad,"[glad] contente, feliz, contentes, felizes"
glass,"[glass] copo, vidro, espelho, taça"
glasses,"[glasses] óculos, copos, copo, espelho, espelhos, taça, taças, vidro, vidros"
global,"[global] global, globais, mundiais, mundial"
go,"[go] ir, vou, vamos, andamos, andar, andaram, andaremos, andei, andou, desapareceu, embora, entram na, entre na, fez, fica, ficam, ficamos, ficar, ficaram, ficarei, ficaremos, ficaria, ficará, ficarão, ficaríamos, fico, ficou, fiquei, foi, fomos, for, foram, forem, formos, fosse, funcionou, irei, irem, iria, iriam, irmos, irá, irão, passamos, passar, passarmos, passe, sair, saímos, siga, sucesso, vai, vá, vão, íamos"
go out,"[go out] sai, saia, saem, saímos, saiam, sair"
goal,"[goal] objetivo, gol, baliza, golo, meta"
goals,"[goals] gols, balizas, golos, metas, objetivos"
god,"[god] deus, deuses"
goes,"[goes] vai, fica, anda, desaparece, desaparecer, ficar, for, funciona, funcionar, ir, tentativas, vezes"
goes out,"[goes out] (ele/ela) sai, sair, sai, saia"
going,"[going] vai, indo, ir, andando, andar, entrando, entrar, ficando, ficar, for, fosse, funcionar, indo pelo, irem, passar, saindo, sucesso, tentativa, vamos, vou, vão"
going out,"[going out] saindo, saído, sair"
gold,"[gold] ouro, de ouro, dourada, dourado, dourados"
golden,"[golden] dourada, douradas, único, de ouro, dourado"
golf,[golf] golfe
good,"[good] bom, boa, boas, bem, bons, positiva, positivas, positivo"
good afternoon,[good afternoon]
good at,[good at]
good evening,[good evening] boa noite
good for,[good for]
good luck,[good luck] Boa sorte
good morning,[good morning] bom dia
good night,[good night] boa noite
good time,[good time]
good-looking,"[good-looking] bonitos, bonito, bonitas, bonita"
goodbye,"[goodbye] adeus, tchau, despeça-se do, despeçam-se dos"
got,"[got] recebi, consegui, ganhou, achado, achamos, achar, acharam, achava, achavam, achei, achou, achávamos, adquiri, adquirimos, adquiriram, adquiriu, apanhado, apanhamos, apanhar, apanharam, apanhava, apanhavam, apanhei, apanhou, apanhávamos, chegamos, chegaram, chegou, cheguei, chegámos, compramos, compraram, comprei, comprou, conseguimos, conseguiu, embarcamos, embarquei, entendemos, entender, entenderam, entendeu, entendi, entendia, entendiam, entendido, entendíamos, estão com, ficado, ficamos com, ficaram, ficou, ficou com, fiquei, fiquei com, foi, foi buscar, fomos buscar, foram, foram buscar, fui, fui buscar, ganhado, ganhamos, ganhar, ganharam, ganhava, ganhavam, ganhei, ganho, ganhávamos, ia buscar, iam buscar, ido buscar, ir buscar, levava, levou, obteve, obtive, pegamos, pegaram, pegou, peguei, recebemos, receber, receberam, receberia, recebeu, recebia, recebiam, recebido, recebíamos, sofreram, sofreu, ter, teria, teve, tido, tinha, tinham, tirava, tirei, tirou, tive, tivemos, tiveram, tínhamos, íamos buscar"
got married,"[got married] casei, casou, casaram, casamos, me casei"
gotten,"[gotten] ficado, achado, achar, adquiriu, apanhado, apanhar, chegado, comprado, entender, entendido, entrar, fui, ganhado, ganhar, ganho, ido buscar, ir buscar, obteve, obtido, obtive, pegado, receber, receberam, recebeu, recebi, recebido, sido, ter, tido"
government,[government] governo
governments,[governments] governos
governor,"[governor] governador, director, diretor"
grade,"[grade] série, nota, grau, ano, categoria, classe, classifica, classificam, classificamos, classificar, classifico, qualidade"
grades,"[grades] notas, categoria, categorias, classe, classes, classifica, classificar, grau, graus, nota, qualidade, qualidades"
grammar,[grammar] gramática
grandfather,"[grandfather] avô, vô, vovô"
grandmother,"[grandmother] vó, avó, vovó"
grandparents,[grandparents] avós
grass,"[grass] grama, relva"
gray,"[gray] cinza, cinzas, cinzenta, cinzento, grisalho"
great,"[great] grande, ótimo, ótima, grandes, ótimas, ótimos"
green,"[green] verde, verdes, aberto, esverdeado, esverdeados, gramado"
grew up,"[grew up] cresci, cresceu"
grilled,"[grilled] grelhada, grelhados, grelhadas, grelhado"
ground,"[ground] chão, solo, afiado, afiamos, afiar, afiaram, afiará, afiava, afiavam, afiei, afiou, afiámos, afiávamos, amolado, amolamos, amolar, amolaram, amolará, amolava, amolavam, amolei, amolou, amolámos, amolávamos, moemos, moer, moeram, moerá, moeu, moí, moía, moíam, moíamos, triturado, trituramos, triturar, trituraram, triturava, trituravam, triturei, triturou, triturámos, triturávamos"
group,"[group] grupo, agrupar"
grow,"[grow] crescem, cultivam, crescemos, cresce, crescer, crescerei, crescerão, cresceu, cresço, criar, cultiva, cultivamos, cultivar, cultivarei, cultivarão, cultivo, cultivou, nascer, tornar-se"
grow up,[grow up] crescer
guard,"[guard] guarda, guardam, guardamos, guardar, guardaremos, guardo, protege, protegem, protegemos, proteger, protegeremos, protejo"
guide,"[guide] guia, guiam, guiamos, guiar, guiarei, guio"
gym,"[gym] ginásio, academia, academia de ginástica, ginástica"
had,"[had] tinha, tivesse, tínhamos, acabaram, bebemos, beberam, bebeu, bebi, comemos, comeu, comi, dado, dar, daria, dariam, dará, dei, demos, deram, deste, deu, estado, estava com, estavam usando, estou, estou com, faria, faríamos, fazer, fazia, fez, fiz, fizemos, fizeram, havia, operou, passamos, tem, temos, temos tido, tenha tido, ter, ter tido que, teremos, teria, terá, teríamos, teve, tido, tinha feito, tinham, tive, tive que, tivemos, tiveram, tivessem, tivéssemos, tomado, tomamos, tomar, tomaram, tomaremos, tomava, tomavam, tomei, tomou, tomávamos"
hair,"[hair] cabelo, cabelos, pelo, pelos"
half,"[half] metade, tempo (primeiro tempo da partida), a metade, ao meio, meia, meio, tempo"
half-price,[half-price] pela metade do preço
hand,"[hand] mão, ajuda, ajudam, ajudar, ajudaremos, ajudaria, ajudará, ajudo, alcança, alcançam, alcançar, alcançaremos, alcançaria, alcançará, alcanço, dar, daremos, daria, dará, dou, dá, dão, letra, palmo, passar, ponteiro, trabalhador"
hands,"[hands] mãos, ajuda, ajudar, alcança, alcançar, dar, dá, letra, letras, mão, palmo, palmos, ponteiro, ponteiros, trabalhador, trabalhadores"
happened,"[happened] acontecido, aconteceu, havido, acontecemos, acontecer, aconteceram, aconteceria, acontecerá, aconteceríamos, acontecesse, aconteci, acontecia, aconteciam, acontecíamos, houve, sucedemos, suceder, sucederam, sucederia, sucederá, sucedeu, sucedi, sucedia, sucediam, sucedido"
happening,"[happening] acontecendo, havendo, acontecer, acontecido, acontecimento, sucedendo"
happy,"[happy] contente, contentes, feliz, felizes"
happy to,"[happy to] dispostas a, dispostos a, disposta a, disposto a"
hard,"[hard] difícil, duro, a sério, a fundo, com força, difíceis, dura, duros, fixamente, forte, intensamente, muito, rude, rígido, severa, severo"
has,"[has] tem, está, fazer, bebe, dar, das, dos, dá, está com, possui, tenha, ter, teve, tiver, toma, tomar, têm"
has to,"[has to] precise, deve"
hasn't,[hasn't] não
hat,"[hat] chapéu, boné, chapéus"
hate,"[hate] ódio, odeio, odeiam, detestam, detesto, odeia"
hated,"[hated] odiei, detestava, detestei, odiaram, odiava, odiou"
hats,"[hats] chapéus, bonés, gorros"
have,"[have] tenho, tem, temos, beba, bebem, beber, bebo, comeremos, dar, deu, dou, dá, estiver, estou com, está com, farei, faremos, fazem, fazer, fazê, fez, fizemos, fizeram, passar, tenha, tenhamos, ter, terei, teremos, teria, terá, terão, teríamos, tinha, tinham, tive, tiver, tivesse, tomar, tomo, tomou, trazer, têm"
have a baby,[have a baby]
have a nice,[have a nice]
have to,"[have to] precisa, preciso, precisam, devem, precisamos, precisar"
haven't,[haven't]
having,"[having] tendo, ter, almoçando, comendo, comer, dando, dar, fazendo, fazer, jantando, tomando, tomar, tomaremos"
he,[he] ele
he'll,"[he'll] ele vai, ele"
he's,"[he's] ele é, ele tem, ele seja, ele tenha, estiver, ele tiver, ele, ele está"
head,"[head] cabeça, cabeças, chefe, chefes, encabeça, encabeçam, encabeçar, encabeçará, encabeçarão, encabeço, espuma, espumas, estar à frente de, estará à frente de, estarão à frente de, estou à frente de, está à frente de, estão à frente de, principais, principal"
heads,"[heads] cabeças, cabeça, chefe, chefes, encabeça, encabeçar, espuma, espumas, estar à frente de, está à frente de, principais, principal"
health,[health] saúde
healthy food,[healthy food]
hear,"[hear] ouço, ouvir, ouvem, escuta, escutam, escutamos, escutar, escute, escuto, estamos ouvindo, estou ouvindo, está ouvindo, estão ouvindo, ficar sabendo, ouve, ouvi, ouvidas, ouvimos, ouviram, ouvirei, ouvirá, ouvirão, ouviríamos, ouviu, ouviu falar, saber, soube, souberem"
heard,"[heard] ouvi, ouviu, escutado, escutou, fiquei sabendo, ouvia, ouviam, ouvido, ouvimos, ouvir, ouviram, ouviria, ouviriam, ouviu falar, ouvíamos, soube, ter ouvido"
hears,"[hears] ouve, escuta, ouvir"
heart,[heart] coração
heat,"[heat] calor, aquece, aquecem, aquecemos, aquecer, aquecerá, aquecerão, aquecimento, aqueço, ardor, eliminatória"
height,"[height] altura, altitude, auge, cúmulo"
heights,"[heights] cúmulo, auges, altitude, auge, cúmulos, altitudes"
hello,"[hello] olá, oi, alô"
help,"[help] ajudar, ajuda, ajude, ajudam, ajudamos, ajudaram, ajudaria, ajudará, ajudasse, ajudem, ajudo, ajudá, socorro"
helped,"[helped] ajudado, ajudasse, ajudava, ajudada, ajudaram, ajudarei, ajudaria, ajudariam, ajudará, ajudavam, ajudei, ajudou"
helping,"[helping] ajudando, ajudado, ajudar"
helps,"[helps] ajuda, ajude, ajudar, ajudas"
her,"[her] ela, dela, a, as, la, lhe, nela, o, os, para ela, seu, seus, sua, suas"
here,"[here] aqui, cá, daqui, tome"
here's,[here's] Aqui está
hers,"[hers] dela, a dela, a sua, as dela, as suas, delas, o dela, o seu, os dela, os seus, seu, seus, sua, suas"
herself,"[herself] se, ela mesma, ela própria, a si mesma, mesma"
hey,"[hey] ei, oi"
hi,"[hi] oi, olá"
high school,"[high school] colégio, ensino médio"
hiking,"[hiking] fazer caminhada, caminhar, caminhada, fazendo uma caminhada"
him,"[him] ele, para ele, a ele, dele, lhe, lo, nele, o"
himself,"[himself] se, ele mesmo, mesmo, a si mesmo, ele próprio"
hip-hop,[hip-hop] hip-hop
his,"[his] dele, a, as, de, o, os, seu, seus, sua, suas, vivas"
historical,"[historical] histórica, histórico/histórica, históricos/históricas, históricos"
history,[history] história
hit,"[hit] atingimos, acertar, acertou, atinge, bata, bateram, bateu, bati, descobre, descobrimos, descobrir, descobriram, sucesso"
hockey,"[hockey] hóquei, hockey"
home,"[home] casa, em casa, para casa, asilo, até em casa, caseiro, de família, doméstico, interno, lar, país natal, residencial"
homes,"[homes] casas, de família, asilos, caseiros, domésticos, em casa, internos, lares, nacionais, país natal"
homework,"[homework] dever de casa, lição de casa, dever, tarefa de casa, trabalho para casa"
honor,"[honor] honra, homenagem, orgulho"
hope,"[hope] espero, esperança, esperamos, espera, esperam, esperar, espere, espero que, tomara"
horrible,[horrible] horrível
horse,[horse] cavalo
horses,"[horses] cavalos, cavalo"
hospital,[hospital] hospital
hospitals,"[hospitals] hospitais, hospital"
hot,"[hot] quente, quentes, calor, com calor"
hotel,[hotel] hotel
hotels,[hotels] hotéis
hour,"[hour] hora, horas"
hours,[hours] horas
house,"[house] casa, guarda, guardou"
houses,"[houses] casas, arrecada, arrecadar, guarda, guardar"
how,"[how] como, quanto, o quanto, a, de que forma, que, quão"
how about,[how about] que tal
how are you,"[how are you] tudo bem, como vai você"
how do you,[how do you]
how long,"[how long] quanto tempo, por quanto tempo, há quanto tempo, qual o comprimento"
how many,"[how many] quantos, quantas"
how much,"[how much] quantos, quanto, quanta"
how's,"[how's] Como está, que tal, Como é, como"
how's it going,[how's it going]
however,"[however] no entanto, contudo, entretanto, mas, por mais, porém, todavia"
human,"[human] humana, humano, humanos"
humans,"[humans] humanos/humanas, humano/humana, humanos"
humor,[humor] humor
hundred,"[hundred] cem, centena, cento"
hungry,"[hungry] com fome, faminto, ter fome"
hurt,"[hurt] doem, machucou, ferido, doer, doeu, doí, doía, doíam, dói, estava doendo, farão mal a, faz mal a, fazem mal a, fazemos mal a, fazer mal a, fazia mal a, faziam mal a, fazíamos mal a, faço mal a, fere, ferem, feri, feria, feriam, ferida, feridas, feridos, ferimos, ferir, feriram, ferirão, feriu, feríamos, fez mal a, fira, firam, firo, fiz mal a, fizemos mal a, fizeram mal a, machuca, machucadas, machucado, machucam, machucamos, machucar, machucaram, machucarão, machucava, machucavam, machuco, machucávamos, machuque, machuquei, machuquem, magoa, magoada, magoado, magoam, magoamos, magoar, magoaram, magoarão, magoava, magoavam, magoei, magoo, magoou, magoávamos, mal, mágoa, sentido"
husband,"[husband] marido, esposo"
i,"[i] eu, a mim, estou, que eu"
i don't understand,[i don't understand]
i have,[i have]
i need,[i need]
i want,[i want]
i'd like,[i'd like] gostaria
i'd love to,[i'd love to]
i'll,"[i'll] eu vou, eu serei, vou, eu irei, irei, eu"
i'll have,"[i'll have] eu terei, beberei, eu vou querer, comerei"
i'm,"[i'm] me, eu vou, eu fico, eu seja, estivesse, eu esteja, eu estiver, vou, eu estou, eu tenho, eu for, eu, tenho, estou, estou com, eu sou"
i've,"[i've] eu, eu tenha, eu tenho, que eu, tenho"
ice,"[ice] gelo, gela, gelam, gelamos, gelar, gelaram, gelarei, gelarão, gelaríamos, gelou"
ice cream,[ice cream] sorvete
id,"[id] identificação, identidade, documento"
idea,[idea] ideia
ideas,"[ideas] ideias, ideia"
identification,"[identification] identidade, identificação"
identities,[identities] identidades
identity,[identity] identidade
if,"[if] se, caso, que"
if not,[if not]
ill,"[ill] doente, doentes, mal"
illness,[illness] doença
image,[image] imagem
images,"[images] imagens, imagem"
